name,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month
Fantastic flat in West Town,41.89868798,-87.67048955,Entire home/apt,99,2,71,24/04/2017,3.97
Amazing Location. Ultimate Savings.,41.90433978,-87.67109823,Entire home/apt,50,1,37,01/05/2017,2.30
Conveniently Located 2 Bedroom Condo in Chicago,41.90349397,-87.66190857,Entire home/apt,150,2,1,07/05/2017,1.00
Bright Artsy Cool Wicker Park Apartment Sleeps 4,41.91082267,-87.68589201,Entire home/apt,124,2,0,,
The Perfect Wicker Park Studio,41.91200267,-87.6776005,Entire home/apt,90,2,155,01/05/2017,4.97
Entire Loft / Vibrant Area,41.89869251,-87.67500748,Entire home/apt,175,2,47,09/05/2017,1.75
"4Br Blue Line ""L"" 90/94 Duplex Down",41.89112016,-87.65958988,Entire home/apt,250,2,43,04/05/2017,2.10
Oakley Bells,41.89933608,-87.68442697,Entire home/apt,85,2,80,01/01/2017,1.80
iKlektik House // Cardinal,41.8948176,-87.68643801,Entire home/apt,99,2,162,02/05/2017,4.02
"Great Location! | Steps from Shops, Train, Uber",41.90290686,-87.66624414,Entire home/apt,94,4,7,02/05/2017,1.04
Chicago duplex-perfect for groups!,41.89985924,-87.68030308,Entire home/apt,299,3,61,07/05/2017,1.93
"Huge, Rad Room WITH LAUNDRY! Ideal for long-term!",41.90026752,-87.69763468,Private room,75,1,53,09/04/2017,1.00
Vintage 2 br. in East Humboldt,41.90823456,-87.69263564,Entire home/apt,100,2,2,23/07/2016,0.20
Private Bedroom in New Apartment,41.89658148,-87.69555587,Private room,89,1,2,28/10/2016,0.26
Cute and cozy unit w/exposed brick,41.89419108,-87.67857033,Private room,50,1,10,07/05/2017,1.55
Cute convenient Wicker Park 1BR,41.90884915,-87.66785034,Entire home/apt,110,3,3,08/05/2017,3.00
"Rest, Relax and Explore",41.89686555,-87.67988892,Private room,69,4,36,07/11/2016,0.50
Cozy apartment minutes from EVERYTHING :),41.89316139,-87.64815952,Entire home/apt,150,3,16,17/04/2017,2.05
2 Bedroom Apartment in West Town,41.89452261,-87.66561005,Entire home/apt,75,2,33,02/05/2017,2.64
Wicker Park- Ideal Location,41.90695192,-87.68394075,Private room,75,1,4,29/06/2016,0.29
3Bed/2bath Penthouse Condo in Wicker Park,41.90799879,-87.67128979,Entire home/apt,160,1,1,15/04/2017,1.00
West Town Traveler's Lodge,41.90064407,-87.67056039,Entire home/apt,119,1,201,08/05/2017,8.48
Secret Garden | West Town|Noble Square|Wicker Park,41.90063134,-87.66315756,Entire home/apt,99,2,6,12/04/2017,0.97
West Town/Noble Square with an Outdoor Area,41.89556253,-87.66046543,Entire home/apt,118,2,33,06/05/2017,3.63
Vintage 2bd in heart of Wicker Park,41.90612741,-87.67385911,Entire home/apt,80,1,28,23/04/2017,2.81
Wicker Park Loft,41.90761025,-87.67332021,Entire home/apt,105,1,156,21/04/2017,6.84
Huge Loft with Rooftop in Riverwest,41.89384553,-87.65483815,Entire home/apt,600,2,37,30/04/2017,2.81
Amazing Wicker Park Warehouse!!!!,41.90306754,-87.67323566,Entire home/apt,250,3,34,07/05/2017,1.53
STUDIO CLOSE TO DOWNTOWN & BUCKTOWN,41.90013304,-87.69838294,Private room,46,1,0,,
Modern 2B/1BA in West Town,41.89824273,-87.69387805,Entire home/apt,75,2,13,06/05/2017,4.11
Ukrainian Village Abode!,41.89824179,-87.69038833,Entire home/apt,70,1,1,07/05/2017,1.00
Garage & Quiet bed/bath/den,41.89490854,-87.66810774,Private room,110,2,17,22/10/2016,0.76
"Amazing 2BR, 2BTH in Wicker Park!",41.9028941,-87.67292939,Entire home/apt,200,1,7,09/04/2017,0.74
Studio close to everything!,41.90832252,-87.69444473,Entire home/apt,70,1,9,06/11/2016,0.48
BEST River West Chicago Apartment,41.89687029,-87.65715366,Entire home/apt,119,1,0,,
Wicker Park/Bucktown 2 bedroom/3 baths,41.90808097,-87.66291463,Entire home/apt,235,2,0,,
Modern/Spacious 2BR/2BA West Town,41.90036041,-87.69331519,Entire home/apt,150,3,68,16/04/2017,2.71
"Guest suite / modern townhouse, hot RiverWest area",41.89504136,-87.65307637,Private room,71,2,1,25/04/2017,1.00
Jumbo 4br in the Wicker/Ukranian,41.9043905,-87.68212164,Entire home/apt,300,3,20,20/10/2016,0.48
❤ of Wicker Park|Sleeps 14 |Steam Shower| 2-Levels,41.90483639,-87.67997773,Entire home/apt,135,1,31,07/05/2017,4.06
Whit's Place in East Village,41.89949047,-87.67528264,Entire home/apt,179,2,22,26/04/2017,3.06
Two apartments in the same building,41.89972062,-87.6805391,Entire home/apt,599,3,10,26/04/2017,0.79
Entire gorgeous apartment in Ukranian Village,41.89752908,-87.69648306,Entire home/apt,112,3,0,,
Modern + Cozy Family-Friendly Home,41.9028333,-87.69207251,Entire home/apt,450,1,4,30/04/2017,0.62
Big Cozy Apartment with View of Humboldt Park!,41.90321177,-87.69774109,Entire home/apt,350,2,0,,
Spacious Duplex Apartment with Private Terrace!,41.89314875,-87.68033274,Entire home/apt,65,7,16,25/03/2017,0.29
"Art Loft, Ukrainian Village/West Town",41.89140813,-87.68675182,Entire home/apt,200,2,13,09/04/2017,3.82
Gorgeous Apartment in Chicago,41.90094213,-87.68367818,Entire home/apt,211,2,38,02/08/2016,1.07
Brand New Duplex Humboldt / Ukrainian border,41.90126812,-87.69164684,Entire home/apt,200,3,1,27/11/2016,0.18
Lovely 2 bdrm Apt in Chicago's Ukrainian Village,41.89223512,-87.68292532,Entire home/apt,82,2,9,07/05/2017,3.97
Cozy 4B Wicker Park Home - Fireplace and Foosball!,41.91080019,-87.67547142,Entire home/apt,399,1,8,25/04/2017,1.73
Sunny and Spacious Condo,41.90587841,-87.69030324,Entire home/apt,220,1,1,25/09/2016,0.13
"Cozy, Charming Apartment in Ukrainian Village",41.89676651,-87.68119781,Entire home/apt,120,2,4,16/10/2016,0.51
Sunny 2bd Flat: Location! Location! Wicker Park,41.91178038,-87.67634984,Entire home/apt,175,2,3,03/01/2017,0.29
Beautiful Home in Wicker Park,41.90528687,-87.68346941,Entire home/apt,1500,1,20,30/07/2016,0.41
bright and spacious Ukrainian Village,41.89697415,-87.6765484,Entire home/apt,107,2,12,09/05/2017,4.62
Spacious One Bedroom in Ukrainian Village,41.9003875,-87.69194517,Entire home/apt,120,1,9,22/04/2017,1.09
Center of the Universe,41.9096327,-87.67643172,Entire home/apt,200,2,0,,
Comfortable futon!,41.897675,-87.6632742,Shared room,28,1,26,01/05/2017,2.27
Chicago's Hot Ukrainian Village! Entire 2 Bed Apt!,41.89242541,-87.68078222,Entire home/apt,65,7,23,23/02/2017,0.42
HIP + MODERN LUXURY + WICKER PARK,41.91214833,-87.67764184,Entire home/apt,200,2,1,09/05/2017,1.00
"Bright, spacious sanctuary duplex, modern hacienda",41.8903866,-87.68407094,Entire home/apt,92,3,2,28/03/2017,0.82
Spacious 2BR conenviently located,41.89630747,-87.69998813,Entire home/apt,99,1,27,30/10/2016,1.32
Spacious Duplex Condo Min From Loop,41.90150157,-87.69493703,Entire home/apt,307,2,14,30/04/2017,1.44
Ukrainian Village Studio with Italian Charm,41.89672295,-87.681022,Entire home/apt,88,2,8,30/04/2017,2.53
Your Entire Home Away from Home!,41.89461166,-87.67571223,Entire home/apt,175,2,0,,
CHARMING NEIGHBORHOOD 2BR APT!,41.893512,-87.67486192,Entire home/apt,149,2,74,07/05/2017,3.29
Chicago Skyline View Condo w/ FREE garage parking,41.8916468,-87.65712603,Entire home/apt,200,2,6,24/04/2017,0.73
"Wicker Park  Chicago, IL entire 2BD",41.89710499,-87.67097725,Entire home/apt,148,1,37,23/10/2016,1.84
City registration pending,41.90487586,-87.68089207,Entire home/apt,119,2,0,,
Large condo in Chicago's West Town,41.89499066,-87.6580046,Entire home/apt,215,2,7,04/12/2016,0.34
West Town Apartment - City's Best Location,41.89223324,-87.65874173,Entire home/apt,77,2,42,03/05/2017,3.91
Sweet Home Chicago 4 Bedroom/2 Bath,41.89293738,-87.65865167,Entire home/apt,215,1,58,30/04/2017,2.57
iKlektik House // Blue Jay,41.89425296,-87.68467553,Entire home/apt,99,2,109,23/04/2017,2.99
West Town 4BR duplex sleeps 10 - Great location!,41.89934617,-87.66678216,Entire home/apt,149,2,3,07/05/2017,2.09
Beautiful & Highly Rated!,41.90138041,-87.6733493,Entire home/apt,250,3,26,19/03/2017,1.03
Futon Steps Away From 6 Corners,41.91055699,-87.6776788,Shared room,30,1,131,23/04/2017,7.51
COZY TOP BUNK in WINDY CITY!,41.90704347,-87.69002515,Shared room,29,1,19,06/05/2017,2.92
"Turquoise Wonder - Clean, Cozy & Stylish Apt",41.89634118,-87.69195741,Entire home/apt,89,2,53,01/05/2017,4.61
"Full, Detached, 2bd/2.5 bth House in Westown!",41.89963907,-87.69298789,Entire home/apt,200,2,4,07/05/2017,1.52
COMFY BOTTOM BUNK in WINDY CITY!,41.90701249,-87.68934839,Shared room,39,1,15,01/05/2017,2.10
COMFY BOTTOM BUNK 2,41.90694229,-87.69147744,Shared room,49,1,5,19/02/2017,0.78
Spacious & refined unit in a vintage building,41.90016625,-87.69662958,Entire home/apt,95,2,21,07/05/2017,1.85
Sunny Pad in heart of West Town 3,41.89678378,-87.68937711,Entire home/apt,140,1,65,23/04/2017,3.50
Unique Designer Home in Ukrainian Village,41.8979799,-87.67877879,Entire home/apt,120,1,12,02/04/2017,1.46
Beautiful Studio in West Loop,41.8890424,-87.64578894,Entire home/apt,150,1,2,09/05/2017,0.24
1 BR Bucktown/Wicker Park Apt. - Great Location,41.91164762,-87.67486264,Entire home/apt,125,2,23,05/05/2017,2.32
In Hip Ukrainian Village/ Wicker pk,41.89980486,-87.6820446,Entire home/apt,159,2,13,18/10/2016,0.94
Beautiful 2Bed2Bath @West town,41.89393461,-87.66710687,Entire home/apt,149,2,16,05/01/2017,1.36
Attractive WestTown Mdrn 2bd/2bth,41.89453199,-87.67975863,Entire home/apt,98,2,81,12/03/2017,2.87
Beautiful 3br Wicker Park Duplex!,41.90049899,-87.67627645,Entire home/apt,225,2,7,23/04/2017,0.68
Bright 1bd in Ukrainian / Humboldt,41.89840151,-87.6967315,Entire home/apt,99,2,11,03/04/2017,0.48
The Heart of Wicker Park: 2 Bedroom,41.90956641,-87.67847543,Entire home/apt,225,3,9,07/05/2017,0.82
Cool one bedroom apartment in super 'hood,41.90010403,-87.67399777,Entire home/apt,118,3,0,,
Wicker Park 1 Bedroom Haven,41.90598921,-87.68389875,Entire home/apt,180,2,6,18/03/2017,0.57
Sleep Like a Champion!,41.89445881,-87.67995037,Entire home/apt,99,2,55,08/05/2017,3.57
Newly remodeled Smart Condo in Trendy Wicker Park,41.90334002,-87.67393027,Entire home/apt,200,4,2,25/11/2016,0.34
Warm up to Ukrainian Village,41.89648556,-87.67828659,Entire home/apt,90,1,24,05/05/2017,4.65
Handsome in Wicker Park,41.91034711,-87.68197894,Entire home/apt,75,1,3,10/06/2016,0.18
Huron street,41.89548791,-87.67983224,Entire home/apt,200,2,0,,
"River West, Grand Blue Line Stop",41.89396863,-87.6497538,Private room,100,2,78,09/11/2016,1.61
1 bd/1 bth (of 3 bd/3bth unit) - WP,41.90430479,-87.66185419,Private room,100,5,0,,
5 bedrooms in Ukrainian Village,41.89419993,-87.67797946,Entire home/apt,350,1,0,,
Great bedroom in an updated home,41.90221621,-87.69372466,Private room,175,1,1,23/09/2016,0.13
Sunny Flat in Wicker Park,41.90072494,-87.67487946,Entire home/apt,120,4,7,02/08/2016,0.37
Artsy 3BR in River West,41.89504529,-87.65211073,Entire home/apt,259,2,8,06/02/2017,1.13
Private Suite in Humboldt Park/Logan Square,41.91007737,-87.70386967,Entire home/apt,45,2,12,26/04/2017,2.26
Hip & Modern Wicker Park 2 BDRM!,41.90530986,-87.66734688,Entire home/apt,99,2,147,07/05/2017,4.59
Clutter Free Cozy & Clean Hotelesk,41.90928706,-87.69241655,Private room,50,1,31,10/11/2016,1.53
Hip Homebase to Explore Chicago,41.91345101,-87.66769781,Entire home/apt,150,2,68,30/04/2017,3.06
Room near division blue line,41.90529635,-87.66656406,Private room,40,1,0,,
1 Bedroom 1 Bath - and Roofdeck,41.89409667,-87.6505985,Private room,95,1,10,18/10/2015,0.31
Room in wicker park town home,41.8986568,-87.66591869,Private room,100,1,9,06/11/2016,0.45
Private UK Village Room,41.89971196,-87.67351867,Private room,57,1,11,07/05/2017,0.85
Split-Level Artist Loft,41.88921151,-87.65358997,Entire home/apt,200,1,18,17/04/2017,0.89
Spacious and Sunny One Bedroom,41.89508337,-87.66160806,Entire home/apt,125,1,4,01/08/2016,0.41
Cozy Room in Beautiful Penthouse,41.8943424,-87.66233076,Private room,85,1,19,18/04/2017,1.61
Cozy Garden Apartment,41.91184468,-87.69954173,Entire home/apt,90,1,27,06/11/2016,2.15
Studio in heart of Wicker Park,41.90935922,-87.6764595,Entire home/apt,105,2,15,27/08/2016,1.30
"Beautiful, 2BR w/ Balcony, Great Neighborhood",41.89749544,-87.69836306,Entire home/apt,115,2,8,26/03/2017,0.87
3 Bedroom 3.5 Bathroom Condo in West Town,41.89112077,-87.6613635,Entire home/apt,359,2,2,19/03/2017,0.38
Super Comfortable Bedroom For Frequent Travelers,41.89579035,-87.66379492,Private room,59,1,37,06/05/2017,3.81
"Brand new apartment, free parking!",41.90445501,-87.67879674,Entire home/apt,142,1,1,23/04/2017,1.00
A Hide Out in the Heart of Chitown,41.89819204,-87.66776206,Entire home/apt,56,2,12,30/04/2017,1.30
Just renovated Wicker Park loft steps to subway,41.90222413,-87.66798907,Entire home/apt,190,2,7,18/12/2016,0.91
Spacious Chicago Duplex Loft,41.89679269,-87.66023342,Entire home/apt,149,2,52,07/05/2017,2.26
"Wicker Park: Clean+Homey, walk to trains",41.90943833,-87.66895395,Entire home/apt,139,30,18,17/04/2016,0.63
Spacious Clean Chicago Three Bedroom w/Parking,41.89359317,-87.68621119,Entire home/apt,125,2,37,30/04/2017,4.48
"Great location, Great design.",41.90330057,-87.67186359,Entire home/apt,125,1,84,04/05/2017,1.58
Co-Working Studio + Gallery + Exhibition Studio,41.91088004,-87.69165078,Entire home/apt,500,1,0,,
Funky Fresh 3 BR Vintage Apartment,41.90155679,-87.69451439,Entire home/apt,90,2,46,07/05/2017,4.95
Large room in Art Gallery ((:,41.90977739,-87.67719199,Private room,50,1,20,25/04/2017,0.80
Modern 2BR/2BA in W. Wicker Park,41.90761732,-87.68575306,Entire home/apt,129,2,166,07/05/2017,3.99
Sunny Ukrainian Village / Wicker Park Brown Stone,41.89775768,-87.67932679,Private room,65,2,3,27/04/2017,0.48
Master BR & BA - clean/accessible,41.88973583,-87.66083125,Private room,115,3,0,,
"Cozy ukranian village 2 bed, 3bath",41.89673851,-87.69211418,Entire home/apt,200,1,4,16/04/2017,1.33
Sunny Humble Abode,41.89214555,-87.66857297,Private room,65,1,24,07/11/2016,1.82
Come enjoy Chicago! With available parking!,41.89737709,-87.67789918,Private room,100,1,5,07/05/2017,0.78
Downtown Luxury Townhouse (special),41.88938777,-87.65504619,Entire home/apt,249,1,85,23/04/2017,2.70
West Town Walk Up Bright 1 Bedroom Near Everything,41.90517983,-87.69145668,Entire home/apt,94,3,8,24/04/2017,3.53
Modern urban oasis,41.91033377,-87.68443905,Entire home/apt,150,30,5,30/11/2016,0.31
Wicker Park Priv. Room w/ Rooftop,41.90846054,-87.6706849,Private room,125,2,1,05/09/2016,0.12
"(REMODEL) Price Drop! Great Deal, Great area!",41.8899816,-87.66239843,Private room,74,1,46,17/03/2017,0.79
Private bath & bdrm in lovely condo,41.89403451,-87.68074623,Private room,62,1,64,24/04/2017,2.64
Awesome room conveniently located.,41.89858009,-87.66869312,Private room,75,1,6,08/05/2017,3.40
Air mattress to enjoy Chicago! With parking!,41.89834952,-87.67780609,Shared room,50,1,15,07/05/2017,2.42
*LovelyBrightRoom#2*in*CentralApt*,41.90204966,-87.69812165,Private room,40,1,62,23/01/2017,4.87
Serene private master bedroom in Humboldt Park!,41.89679293,-87.6973292,Private room,85,2,1,08/05/2017,1.00
Huge private br in Wicker/Ukranian,41.90449972,-87.682465,Private room,53,3,87,02/05/2017,1.54
Cute Private Room in Wicker Park,41.90491752,-87.6723263,Private room,100,1,28,02/04/2017,1.18
5 ★ Dreamy Loft in Wicker Park,41.91360566,-87.68530906,Entire home/apt,200,2,28,09/05/2017,2.19
Artist Loft w/ Sauna + Rooftop Deck,41.90226108,-87.67969966,Private room,150,1,110,08/05/2017,3.13
Room in large apt. w/ GREAT location & views!,41.89990408,-87.66200337,Private room,85,1,1,15/04/2017,1.00
"Guest BR in spacious, modern loft",41.90235459,-87.67933444,Private room,63,1,61,28/04/2017,5.03
Convenient Bedroom in Wicker Park,41.91174282,-87.68596205,Private room,59,1,101,08/05/2017,2.97
Heart of East Village/Wicker Park,41.89759618,-87.67734657,Entire home/apt,128,2,33,19/12/2016,1.62
Gorgeous Ukrainian Village condo w/ roof & view,41.89721213,-87.66910144,Entire home/apt,131,2,4,09/10/2016,0.35
Bright and Relaxing 1BR w/ Private Rooftop Access,41.90628573,-87.67332828,Private room,85,4,0,,
The Heart of Wicker Park,41.90709073,-87.67244583,Private room,65,1,29,27/04/2017,3.82
Bee hive apartment 2nd,41.90032735,-87.69303867,Entire home/apt,80,1,77,07/05/2017,2.86
Cozy Vintage Humboldt Park Room,41.91185741,-87.69906319,Private room,65,2,61,09/04/2017,2.61
Art-Filled Vintage Ukrainian Village Private Room,41.90174493,-87.68562929,Private room,68,2,18,24/04/2017,2.05
Beautiful 3 BR in Best Neighborhood in Chicago,41.89438393,-87.66828644,Entire home/apt,160,2,18,01/05/2017,4.95
The Hideaway :),41.89105751,-87.65757508,Entire home/apt,111,2,77,26/04/2017,4.37
Modern 3 bedroom Chicago condo with rooftop deck!,41.89483606,-87.6947528,Entire home/apt,400,2,2,14/08/2016,0.17
"Vintage, Cozy & Fun!",41.90599986,-87.69500651,Entire home/apt,115,3,148,09/04/2017,2.56
COZY TOP BUNK 2,41.90993354,-87.68895362,Shared room,49,1,0,,
"Master Bedroom, Heart of Wicker Park",41.90994491,-87.67520207,Private room,39,1,34,08/05/2017,9.19
Full Basement with Breakfast!,41.90403188,-87.69131577,Private room,47,2,7,12/04/2017,1.23
"Close, Cozy and Creative, Noble Square Apt.",41.89459129,-87.66472397,Entire home/apt,108,1,8,08/05/2017,1.47
Clean + Crisp 1 BR - UK Village,41.89917263,-87.67214799,Entire home/apt,95,1,64,27/04/2017,3.76
Great space in hip neighborhood!,41.89253017,-87.66047827,Private room,55,2,129,30/04/2017,3.68
River West Loft with Roof Deck,41.89302634,-87.66020806,Entire home/apt,179,2,1,07/05/2017,1.00
“Dobryj Den”Cozy 1BR in heart of Ukrainian Village,41.89749927,-87.68055394,Entire home/apt,118,2,1,07/05/2017,1.00
Wicker Park- 2Br/1Ba LOCATION,41.90735654,-87.68422692,Entire home/apt,199,2,14,24/04/2017,1.08
4 bedroom duplex in Wicker Park,41.91026666,-87.66717305,Entire home/apt,260,2,5,07/05/2017,2.78
Private room in a chill household!,41.91014754,-87.69674151,Private room,32,1,8,06/05/2017,2.50
RIVER WEST ROOM CLOSE TO EVERYTHING,41.89950049,-87.65755562,Private room,50,1,14,13/04/2017,1.19
Extra Wide Ukranian Village 2br/2ba,41.89779042,-87.67735328,Entire home/apt,150,45,10,18/04/2017,0.57
Cozy 2Br w/ Patio & Separate Entry in West Town!,41.89442772,-87.6718895,Private room,80,1,5,23/04/2017,0.81
Single Traveler's Best: East Village,41.8991635,-87.67700212,Entire home/apt,95,2,7,01/05/2017,0.72
Spacious Chicago loft,41.89043299,-87.65778188,Private room,60,2,46,25/04/2017,2.31
"Private Room, Cozy Ukie Village Apt",41.90071391,-87.68811528,Private room,65,2,23,02/05/2017,1.21
Cozy and Chill Humboldt Park Apt!,41.89615473,-87.6979619,Private room,46,2,15,10/10/2016,0.57
"Clean, Cozy and Close to Everything",41.89473274,-87.68153754,Private room,70,1,18,23/12/2016,0.69
Downtown Chicago (West Town). Restaurants and Bars,41.89535703,-87.6717111,Private room,65,2,0,,
"Cozy, comfy & clean: Private room in Humboldt Park",41.90101428,-87.70600745,Private room,50,1,47,10/04/2017,3.45
Prime Wicker Park location w/ free parking,41.90771898,-87.68121496,Private room,74,2,6,18/12/2016,0.85
The Coolest Wicker Park 2 BDRM!!,41.90531401,-87.6671333,Entire home/apt,99,2,92,24/04/2017,4.02
Large room in Art Gallery (:,41.90977542,-87.67690616,Private room,50,1,34,31/03/2017,1.34
Urban Oasis--Wicker Park2 Vintage,41.90143199,-87.67835795,Private room,65,2,119,06/12/2016,2.56
Heart of Bucktown,41.90772392,-87.66743839,Entire home/apt,79,1,9,07/05/2017,5.09
Great loft space with private room.,41.88957341,-87.67314518,Private room,68,3,30,06/05/2017,1.53
Amazing West Town 3rd Floor Penthouse,41.89717342,-87.67231568,Entire home/apt,109,2,189,25/03/2017,6.65
4 Bedroom Apartment- Perfect for Large Groups,41.90264824,-87.67273122,Entire home/apt,149,1,41,29/04/2017,5.17
Charming Ukrainian Village Condo,41.90006007,-87.68508939,Entire home/apt,300,2,2,12/10/2015,0.10
"Maitri Chicago Creative, Mindful and Progressive.",41.90958099,-87.6881181,Private room,75,1,5,23/01/2017,0.95
Chicago room minutes from Downtown,41.9117341,-87.67310427,Private room,60,3,4,08/03/2017,0.39
Zen Traveler Room,41.89693077,-87.68032886,Private room,59,3,27,10/08/2013,0.37
Modern Condo with roofdeck where East meets West!,41.89462894,-87.6594265,Entire home/apt,600,3,8,30/04/2017,1.30
SpaciousCondo steps from Blue Line,41.89648,-87.66721834,Entire home/apt,200,3,0,,
*Wicker Park*2 units*Sleeps 6-18*By train/downtown,41.89843164,-87.66659355,Entire home/apt,250,2,89,25/04/2017,1.46
Tiny Studio Apartment 94 Walk Score,41.90284494,-87.6818296,Entire home/apt,80,2,242,02/05/2017,2.53
Spacious duplex in trendy Bucktown,41.91129027,-87.68337194,Entire home/apt,289,2,3,21/08/2016,0.25
LUXURY 3BD/2BTH in HIP WICKER PARK w/FREE PARKING!,41.90505791,-87.66687744,Entire home/apt,275,2,16,23/04/2017,2.44
Urban Oasis--Wicker Park Vintage,41.9013595,-87.679734,Private room,65,2,249,07/05/2017,3.56
Wicker Park 1-bedroom,41.9131104,-87.67423195,Entire home/apt,89,3,3,30/04/2017,0.36
Spacious two bedroom with patio!,41.90383419,-87.69455169,Entire home/apt,110,2,104,16/04/2017,3.62
Lovely master bedroom w/ private bathroom and deck,41.90947666,-87.67371756,Private room,90,2,0,,
Wicker Park Luxury Rooftop Skyline ,41.9139469,-87.66829853,Private room,70,2,77,24/04/2017,2.26
Hip Studio in HOT Ukrainian Village / Wicker Park,41.90281305,-87.67216294,Entire home/apt,149,3,42,10/04/2017,2.03
Vintage Apartment ABOVE A BAR!!,41.89919611,-87.68598822,Entire home/apt,85,2,64,10/05/2017,5.50
Scandinavian Warmth in Wicker Park,41.90050707,-87.66480852,Private room,120,1,20,06/05/2017,2.28
"Bright, Modern Studio Suite w/Yard",41.89410351,-87.66070836,Entire home/apt,100,2,35,24/04/2017,2.86
Comfy 2 BR West Town Apartment,41.89589941,-87.66574267,Entire home/apt,99,2,30,20/03/2017,2.20
Turquoise Tower w Porch,41.89136814,-87.64688171,Private room,68,1,3,25/04/2017,3.00
Sunny & Chic 2Br - West Chicago,41.89745188,-87.6761273,Entire home/apt,119,2,28,07/05/2017,2.49
Spaciously Cozy 2 Bed in Heart of West Town,41.89188997,-87.65667856,Entire home/apt,165,1,1,30/10/2016,0.16
Posh 2BR in River West,41.89409801,-87.65185878,Entire home/apt,109,2,10,17/02/2017,1.29
Modern penthouse w/private rooftop,41.89977208,-87.66894433,Private room,115,2,8,19/09/2016,0.39
Queen Bunk Beds + Walk In Closet,41.90683777,-87.68973922,Private room,60,2,19,08/05/2017,0.93
Room 2 - Business/Clean/Accessible,41.88936242,-87.65871457,Private room,89,3,1,09/11/2016,0.16
"Incredible, one of a kind, great location,3bd,2bth",41.90227157,-87.66346261,Entire home/apt,425,1,53,24/04/2017,2.69
"Modern, Private BDRM in Redfin's Hottest Hood",41.89764724,-87.67782873,Private room,69,1,15,01/01/2017,1.47
Great Wicker Park Vibe + Privacy,41.90663214,-87.67293125,Private room,65,2,37,23/04/2017,1.88
Purple palace in West Town!,41.89540917,-87.67536771,Private room,80,2,18,09/04/2017,0.72
Sweetest Room in Wicker Park!,41.90446443,-87.67319202,Private room,85,1,21,26/09/2016,1.01
Bespoke Artist Loft by Chicagoan,41.89763559,-87.67583638,Entire home/apt,200,1,0,,
The Cutest Wicker Park 1 BDRM!!,41.90427087,-87.66726211,Entire home/apt,99,2,164,02/05/2017,5.25
Gorgeous private Wicker Park/Ukranian Village apt!,41.90025104,-87.68147352,Entire home/apt,175,2,10,23/04/2017,4.05
Cozy Garden Studio w/Easy Commute,41.90852768,-87.68947584,Entire home/apt,84,2,0,,
Large Penthouse in Prime Wicker Park Location,41.91049702,-87.6758848,Private room,49,1,102,05/05/2017,8.57
Cozy 1bd/1bath bdrm w/stunning city views!,41.89484024,-87.66600476,Private room,60,3,2,07/11/2016,0.31
The Best West Chicago House II,41.89455005,-87.67970878,Entire home/apt,175,2,62,07/05/2017,3.77
Private room in Wicker Park loft at Six Corners,41.91030829,-87.67526102,Private room,75,1,15,16/10/2016,1.67
"Charming (4BR,3BH) great location!",41.89342698,-87.66776136,Entire home/apt,155,2,10,07/05/2017,0.98
Wicker Park Walk Up,41.9063906,-87.66613039,Private room,62,1,68,24/04/2017,4.26
Private room+bath in Wicker Park,41.90436116,-87.67953414,Private room,74,2,58,06/05/2017,2.19
"Wicker Park, Close to Excitement and Blue Line",41.90831356,-87.68064811,Private room,74,1,17,07/05/2017,2.76
Eclectic 2BR w/ Vintage Charm,41.88912969,-87.66763217,Entire home/apt,130,3,138,07/12/2016,2.34
Modern Condo in Ukrainian Village,41.89917473,-87.68745132,Entire home/apt,120,2,13,30/04/2017,2.36
"COZY ROOM, FREE PARKING",41.90371068,-87.67623027,Private room,28,1,18,08/05/2017,4.66
Simple Budget-Friendly Garden Apartment,41.90623957,-87.69183876,Entire home/apt,99,1,76,16/04/2017,2.56
West Town Rooftop Pad,41.89377011,-87.65797243,Private room,70,1,5,13/11/2016,0.43
Cozy room in a charming area,41.89360132,-87.68235535,Private room,60,1,0,,
Beautiful apartment in River West just for you!,41.89362277,-87.6530188,Entire home/apt,109,1,0,,
King Size 1BR/1BA in W. Wicker Park,41.90645154,-87.68640921,Entire home/apt,79,1,142,29/04/2017,5.37
Artful 19th Century Home,41.89825335,-87.66731465,Entire home/apt,109,1,94,05/05/2017,3.98
Private bedroom/bathroom in River West,41.896609,-87.65723045,Private room,65,3,7,06/05/2017,4.04
Street Art style Loft in Wicker Park,41.91312855,-87.68720589,Entire home/apt,125,1,6,27/11/2016,0.53
Pretty Nice West Town Apartment,41.89587303,-87.66394121,Entire home/apt,99,2,27,08/05/2017,0.82
The Best 2 Bed in Wicker Park,41.90473631,-87.66453432,Entire home/apt,250,2,5,21/04/2017,0.53
Cozy Bedroom in Spacious Duplex Apt,41.91344447,-87.69030794,Private room,55,3,96,24/04/2017,2.38
Cozy Room in Wicker Park/West Town,41.90012952,-87.6658182,Private room,30,1,99,04/05/2017,5.98
Vintage Big Bright Top Foor 2br 2bath,41.90443386,-87.68779298,Entire home/apt,37,18,1,31/07/2016,0.11
Entire floor in West Town,41.89071998,-87.66133597,Private room,99,1,15,02/05/2017,2.09
Spare Room  in West Town Loft,41.89016509,-87.67674655,Private room,150,1,11,09/10/2016,0.48
Single Family Home in Wicker Park,41.90885408,-87.67357359,Entire home/apt,460,3,2,16/07/2016,0.11
